t,Pressure Difference
17.581,7.68
17.623,7.5
17.723,7.17
17.768,7.0875
17.812,7.02
17.864,6.87
17.913,6.765
17.959,6.8325
18.009,7.6275
18.056,9.15
18.104,8.6775
18.145,8.497499
18.187,8.4375
18.234,8.1975
18.281,7.905
18.325,7.7325
18.368,7.515
18.411,7.3275
18.502,6.9975
18.543,6.8625
18.592,6.765
18.638,6.66
18.687,6.7575
18.732,6.7275
18.775,8.01
18.819,9.3525
18.861,8.4675
18.904,8.2875
18.952,8.2725
19.0,7.9425
19.045,7.605
19.094,7.4775
19.136,7.365
19.179,7.2225
19.286,6.7725
19.332,6.585
19.38,6.435
19.43,6.3975
19.476,6.54
19.529,8.174999
19.576,9.4125
19.62,8.46
19.668,8.325001
19.712,8.355
19.76,7.8675
19.808,7.5
19.857,7.3575
19.908,7.155
19.951,6.96
20.001,6.8325
20.099,6.5325
20.146,6.42
20.199,6.405
20.257,7.4025
20.312,8.9625
20.361,8.82
20.409,8.445
20.454,8.3325
20.502,7.92
20.549,7.575
20.599,7.425
20.649,7.2525
20.699,7.02
20.741,6.9
20.786,6.75
20.834,6.5475
20.94,6.51
20.991,6.495
21.042,8.362499
21.092,9.622499
21.142,8.5725
21.19,8.362499
21.238,8.07
21.285,7.6425
21.332,7.4925
21.389,7.2225
21.441,7.035
21.494,6.795
21.548,6.57
21.594,6.4425
21.647,6.285
21.692,6.42
21.791,8.3475
21.843,9.6675
21.896,8.715
21.946,8.3925
21.992,8.04
22.041,7.635
22.088,7.4325
22.134,7.275
22.186,7.05
22.241,6.78
22.298,6.555
22.345,6.3825
22.394,6.195
22.444,6.3075
22.493,6.4575
22.545,8.37
22.655,9.0525
22.709,8.76
22.763,8.1
22.811,7.7025
22.857,7.5675
22.91,7.32
22.97,7.1175
23.022,6.8625
23.075,6.6225
23.128,6.435
23.183,6.435
23.234,6.5475
23.284,8.2875
23.334,9.525
23.382,9.285
23.434,8.85
23.544,7.83
23.596,7.515
23.651,7.335
23.703,7.08
23.754,6.855
23.803,6.6375
23.855,6.45
23.908,6.27
23.964,6.39
24.019,7.5375
24.08,9.2775
24.129,8.835
24.18,8.7975
24.231,8.385
24.288,7.9275
24.343,7.665
24.454,7.095
24.504,6.84
24.557,6.66
24.607,6.4875
24.676,6.1575
24.733,6.435
24.788,8.2725
24.851,9.8325
24.903,9.09
24.955,8.775
25.003,8.2125
25.053,7.785
25.109,7.5225
25.167,7.2675
25.221,6.9825
25.279,6.6975
25.384,6.24
25.435,6.3
25.49,6.375
25.54,8.2275
25.599,9.6525
25.659,9.0225
25.722,8.4225
25.779,7.9275
25.83,7.71
25.884,7.3725
25.938,7.095
25.991,6.8325
26.048,6.54
26.107,6.2775
26.163,6.0825
26.224,6.27
26.334,9.345
26.39,9.36
26.445,8.79
26.497,8.1975
26.555,7.695
26.612,7.4175
26.681,7.0875
26.739,6.8775
26.793,6.69
26.854,6.4275
26.907,6.21
26.959,6.3
27.016,7.29
27.079,9.1575
27.14,8.737499
27.194,8.61
27.3,7.6575
27.352,7.4475
27.405,7.26
27.463,6.9675
27.52,6.7875
27.58,6.525
27.642,6.255
27.706,6.2475
27.76,7.275
27.81,8.79
27.866,8.28
27.922,8.684999
27.985,8.325001
28.042,7.8375
28.1,7.575
28.162,7.275
28.275,6.72
28.327,6.51
28.386,6.3975
28.441,6.6075
28.504,7.4625
28.565,8.985
28.624,8.7825
28.689,8.49
28.744,8.1075
28.801,7.665
28.856,7.5075
28.916,7.275
28.977,7.05
29.041,6.84
29.105,6.5775
29.169,6.405
29.279,8.1525
29.336,9.450001
29.393,8.46
29.448,8.295
29.511,7.89
29.577,7.6125
29.638,7.335
29.699,7.11
29.754,6.8925
29.812,6.705
29.87,6.54
29.932,6.42
29.999,7.035
30.065,8.9925
30.126,8.52
30.182,8.309999
30.295,7.71
30.354,7.485
30.411,7.2975
30.475,7.0425
30.542,6.825
30.611,6.6075
30.673,6.45
30.729,6.5775
30.788,8.37
30.846,8.58
30.904,8.235
30.97,8.0775
31.034,7.7175
31.099,7.4325
31.162,7.2675
31.219,7.08
31.327,6.8925
31.385,6.72
31.443,6.765
31.505,7.575
31.569,8.7075
31.638,8.2125
31.704,8.0625
31.762,7.8225
31.823,7.5675
31.887,7.4025
31.945,7.2675
32.009,7.125
32.073,6.96
32.131,6.885
32.187,6.885
32.245,6.9
32.359,8.2575
32.429,8.25
32.496,8.002501
32.557,7.7475
32.614,7.665
32.673,7.4625
32.733,7.275
32.795,7.1625
32.858,7.05
32.923,6.84
32.997,7.11
33.064,7.815
33.126,8.22
33.187,8.145
33.25,7.9875
33.31,7.755
33.424,7.485
33.491,7.3425
33.561,7.1925
33.637,7.005
33.696,7.05
33.757,7.9275
33.818,8.174999
33.885,8.04
33.951,8.0325
34.02,7.86
34.088,7.68
34.157,7.5075
34.221,7.365
34.283,7.2075
34.342,7.1325
34.402,7.0575
34.523,8.07
34.589,8.1
34.654,8.0175
34.719,7.995
34.78,7.785
34.844,7.6875
34.906,7.5225
34.968,7.4325
35.034,7.305
35.099,7.1775
35.168,7.065
35.237,7.125
35.305,7.6725
35.373,8.055
35.435,8.0325
35.498,7.9275
35.614,7.7025
35.685,7.53
35.754,7.41
35.823,7.23
35.886,7.11
35.987,7.11
36.03,8.4
36.077,7.95
36.124,7.92
36.17,7.92
36.217,7.965
36.258,7.755
36.307,7.695
36.352,7.6425
36.394,7.53
36.442,7.4475
36.554,7.26
36.602,7.1925
36.649,7.11
36.698,7.155
36.745,7.14
36.789,8.752501
36.83,7.9125
36.879,7.845
36.929,7.875
36.978,7.7475
37.028,7.7025
37.072,7.6275
37.123,7.575
37.166,7.4475
37.21,7.38
37.26,7.2825
37.36,7.1175
37.415,6.9975
37.458,7.005
37.506,7.9275
37.551,7.62
37.597,7.875
37.65,7.8675
37.701,7.845
37.751,7.7325
37.806,7.65
37.858,7.5975
37.909,7.4775
37.953,7.3875
37.997,7.3125
38.047,7.2375
38.096,7.1625
38.199,7.095
38.244,7.1175
38.29,8.6625
38.33,7.815
38.376,7.74
38.427,7.785
38.476,7.695
38.525,7.62
38.572,7.5375
38.617,7.4775
38.662,7.3875
38.706,7.2975
38.75,7.2375
38.799,7.17
38.849,7.0575
38.897,7.02
38.999,7.17
39.043,8.309999
39.088,7.815
39.138,7.7025
39.187,7.7325
39.239,7.6425
39.29,7.5675
39.339,7.5225
39.392,7.44
39.438,7.3425
39.484,7.26
39.532,7.1775
39.576,7.1175
39.626,7.065
39.676,7.0275
39.725,7.0575
39.831,7.815
39.877,7.8075
39.929,7.7625
39.98,7.65
40.031,7.6125
40.083,7.6125
